window_ns,ber,energy_pj,window_ns
32.0,0.6875,175.74751930711844,32.0
32.0,0.6875,171.2272354780205,32.0
32.0,0.6875,180.68662688998285,32.0
32.0,0.75,201.30518115130727,32.0
32.0,0.875,228.23489582471862,32.0
32.0,0.6875,179.14577399398382,32.0
32.0,0.5625,148.24468735002264,32.0
32.0,0.625,153.84713090808935,32.0
32.0,0.75,191.05593628727388,32.0
32.0,0.5625,144.71609998686193,32.0
32.0,0.5,126.81525666427278,32.0
32.0,0.6875,181.33527418746544,32.0
32.0,0.4375,114.06363304009547,32.0
32.0,0.875,225.22339486598386,32.0
32.0,0.375,100.68056076902475,32.0
