sweep_window_ns,ber,energy_pj,window_ns
9.0,0.3125,53.4406019148754,8.989714039057787
9.0,0.25,56.74152302893032,8.991594877110332
9.0,0.125,60.1497904837526,8.99801357242815
9.0,0.3125,54.39697790432022,9.001064713094149
9.0,0.375,49.297911538997866,9.00431685126985
9.0,0.125,68.1088418151866,8.988973673814879
9.0,0.25,56.83738068076703,9.000998040007048
9.0,0.375,47.07919029068358,8.995591550734646
9.0,0.4375,44.06068953533365,8.995585298996252
9.0,0.5,39.130834337585355,8.989285307825789
9.0,0.25,57.820910658441676,8.99515851752238
9.0,0.1875,61.75262649826529,8.994216654184392
9.0,0.5,39.10132820865032,9.001905231642388
9.0,0.25,55.378954648784934,9.009821228248537
9.0,0.3125,51.5189289726451,9.010209573546929
9.0,0.3125,53.799386098130405,9.013687793673814
9.0,0.25,56.6218557793782,8.988827393275644
9.0,0.375,50.024427449401514,8.981380564781297
9.0,0.375,49.31230048232511,8.99017818523659
9.0,0.3125,52.9311207310994,8.991470537117586
9.0,0.0625,65.78815063879865,9.001246862197913
9.0,0.3125,52.16695176359109,9.012437763926279
9.0,0.25,58.716496998205294,9.014847808964577
9.0,0.3125,52.2764067338085,8.995761486702634
9.0,0.25,56.865252989782135,9.016088816551806
9.0,0.0625,71.81432418515942,9.001661194061688
9.0,0.25,55.73470978340304,8.987266431242459
9.0,0.375,48.63422613355165,8.999149110184243
9.0,0.1875,62.2821936644327,8.988857434574374
9.0,0.375,47.700845744098466,9.002533134572781
9.0,0.5625,33.9358861106271,8.996990818635373
9.0,0.1875,62.58324019103885,8.993943323272918
9.0,0.25,57.21629492905798,8.987291052051255
9.0,0.4375,41.959133985493345,9.006107488606359
9.0,0.1875,62.47269754244641,8.994497741895959
9.0,0.375,47.7437781445051,9.001988161880204
9.0,0.375,49.32236855654236,8.993019742851512
9.0,0.5625,35.31151176695892,9.001042773538716
9.0,0.3125,52.61493368653079,8.998131501290745
9.0,0.25,58.09016749593331,8.993401891810386
9.0,0.25,57.11688684999308,9.004018710675549
9.0,0.3125,54.63046210455398,8.995575322774084
9.0,0.4375,44.061834979943086,8.990112433103373
9.0,0.4375,44.018449221490364,8.999514705226549
9.0,0.3125,51.44895216660876,9.006818864233981
9.0,0.4375,44.79966817338557,9.00870248883974
9.0,0.375,47.95102212376449,9.003218713384253
9.0,0.0625,71.91332943228691,9.013775151656656
9.0,0.5,39.876829661802674,9.00105681093978
9.0,0.3125,53.863966429396555,9.000481128480022
9.0,0.3125,55.066512230738745,8.993080861992919
9.0,0.375,48.09148227265582,8.997425358752324
9.0,0.3125,54.82552557293532,9.006222224861501
9.0,0.5,38.365531696005675,8.99976348134849
9.0,0.625,30.7773480489203,9.009604832517194
9.0,0.3125,51.73342293126284,8.996719290280668
9.0,0.375,49.238984189800156,8.986307613046872
9.0,0.375,48.63408163534442,8.992223153590677
9.0,0.1875,62.35029187847624,9.005365771013597
9.0,0.25,56.40653160013454,8.987962266501002
9.0,0.125,67.52334831780446,9.000489233716486
9.0,0.3125,52.93580627280089,8.999328715153723
9.0,0.25,56.164049358951885,8.992541210302866
9.0,0.375,48.10594851207888,8.995907518521008
9.0,0.3125,53.97674761259338,9.01365217339834
9.0,0.375,47.6947377661274,9.01264390948083
9.0,0.375,46.434785498366224,9.003177960072977
9.0,0.3125,54.33493464268097,9.011100511748216
9.0,0.3125,51.9297786708389,8.994563312678284
9.0,0.25,60.34817876295497,9.002947333859582
9.0,0.4375,42.2639355732742,8.992222652765324
9.0,0.3125,52.67003566713684,9.006573621328037
9.0,0.25,56.80224902975419,9.011838860795484
9.0,0.3125,53.24165689615059,8.997589583704064
9.0,0.4375,42.851109125289824,8.98990937404891
9.0,0.5,37.89805057198863,8.999735493700857
9.0,0.3125,53.95983928289271,8.998052415339371
9.0,0.25,55.86238178533235,9.003956064622187
9.0,0.3125,53.29255715119378,9.010706451544156
9.0,0.4375,44.309752911608335,8.98831457550308
9.0,0.25,57.297244498323565,9.01073264378042
9.0,0.1875,62.23072053057296,9.011781366384763
9.0,0.4375,42.56243100704176,8.983547365729734
9.0,0.4375,43.6420046313522,8.989769664887486
9.0,0.25,56.027422241437456,8.991224287633122
9.0,0.125,65.68237887386346,9.005747876865334
9.0,0.3125,51.10428660016635,9.009218349343126
9.0,0.25,56.87593553034496,8.988569467174022
9.0,0.375,48.342372685248385,8.99774383009448
9.0,0.125,67.69327634579153,8.986332028674054
9.0,0.125,66.82450527968479,9.01098061475746
9.0,0.3125,46.70260910056415,9.000149579600594
9.0,0.4375,42.38103661029658,8.998738583203773
9.0,0.25,57.63450080842038,9.016869375044596
9.0,0.125,67.47605763670938,9.002095239519008
9.0,0.4375,43.69161750318236,9.009558026707415
9.0,0.3125,52.079927153926604,9.01255670409735
9.0,0.25,57.83905468126119,8.994605320984013
9.0,0.25,58.757753748575865,9.000996215786857
9.0,0.4375,43.42821520425607,8.98725580091012
9.0,0.3125,53.70025376170531,9.00845946676172
9.0,0.25,55.23349984923261,9.004938724649916
9.0,0.4375,43.558766999488164,9.002331296561627
9.0,0.5625,35.796007311214815,8.979606730614123
9.0,0.3125,52.846231665457026,9.014975687773497
9.0,0.4375,43.562013646295995,8.99154851750863
9.0,0.5625,32.83729797009421,9.001919439535344
9.0,0.375,49.2051786027987,9.007274921359736
9.0,0.25,58.311579209837305,9.006546289041655
9.0,0.1875,61.10764225094076,9.001782141011235
9.0,0.25,59.66479612035352,8.984487881827567
9.0,0.3125,52.300407335497795,8.991483913201531
9.0,0.1875,59.5748375364548,9.007500540808678
9.0,0.5,38.3420769896372,8.98545516566085
9.0,0.375,48.08038978669966,8.987315814154499
9.0,0.4375,43.29195436235273,8.98575580494933
9.0,0.1875,63.05458876999731,9.00021140094053
9.0,0.25,56.914223591209776,8.997078355952969
9.0,0.25,58.509841858665155,9.00375334635108
9.0,0.125,69.55994365000467,9.002586828737464
9.0,0.25,58.92352306742813,9.016979189236265
9.0,0.4375,42.61512504805815,8.99223886627752
9.0,0.5,38.28450622816143,9.01076136456497
9.0,0.375,47.95902657930618,8.986141846648867
9.0,0.4375,41.71821513516836,8.994430660902504
9.0,0.3125,54.59477101363313,8.988453331130003
9.0,0.3125,53.0346439099976,8.987467097172683
